ID,CPURL,RCPURL,SLURL
4633,http://careerplus.shine.com/skill-courses/accounting-fundamentals-with-getcertgo-certificati/pd4633.html,/skill-courses/accounting-fundamentals-with-getcertgo-certificati/pd4633.html,
4889,http://careerplus.shine.com/skill-courses/software-testing-foundations/pd4889.html,/skill-courses/software-testing-foundations/pd4889.html,https://learning.shine.com/course/None/software-testing-foundations/pd-1722
795,http://careerplus.shine.com/skill-courses/vskills-certified-iphone-apps-developer/pd795.html,/skill-courses/vskills-certified-iphone-apps-developer/pd795.html,https://learning.shine.com/course/it-information-technology/iphone-apps-developer/pd-300
1563,http://careerplus.shine.com/skill-courses/vskills-certified-cocoa-programming-professional/pd1563.html,/skill-courses/vskills-certified-cocoa-programming-professional/pd1563.html,https://learning.shine.com/course/it-information-technology/cocoa-programmer/pd-648
4635,http://careerplus.shine.com/skill-courses/ruby-on-rails-with-getcertgo-certification/pd4635.html,/skill-courses/ruby-on-rails-with-getcertgo-certification/pd4635.html,
4891,http://careerplus.shine.com/skill-courses/advanced-scrum/pd4891.html,/skill-courses/advanced-scrum/pd4891.html,
4637,http://careerplus.shine.com/skill-courses/business-law-essentials-with-getcertgo-certificati/pd4637.html,/skill-courses/business-law-essentials-with-getcertgo-certificati/pd4637.html,
4893,http://careerplus.shine.com/skill-courses/agile-software-development/pd4893.html,/skill-courses/agile-software-development/pd4893.html,
799,http://careerplus.shine.com/skill-courses/vskills-certified-hbase-professional/pd799.html,/skill-courses/vskills-certified-hbase-professional/pd799.html,https://learning.shine.com/course/it-information-technology/hbase-professional/pd-301
1567,http://careerplus.shine.com/skill-courses/vskills-certified-company-law-professional/pd1567.html,/skill-courses/vskills-certified-company-law-professional/pd1567.html,https://learning.shine.com/course/law/company-law/pd-650
4639,http://careerplus.shine.com/skill-courses/performance-appraisal-essentials-with-getcertgo-ce/pd4639.html,/skill-courses/performance-appraisal-essentials-with-getcertgo-ce/pd4639.html,https://learning.shine.com/course/hr-human-resource/performance-appraisal-management-4/pd-1619
33,http://careerplus.shine.com/resume-writing/country-specific-resume/pd33.html,/resume-writing/country-specific-resume/pd33.html,
1569,http://careerplus.shine.com/skill-courses/certified-compensation-and-benefits-manager-2/pd1569.html,/skill-courses/certified-compensation-and-benefits-manager-2/pd1569.html,
4385,http://careerplus.shine.com/combo/premium-career-package/pd4385.html,/combo/premium-career-package/pd4385.html,
4641,http://careerplus.shine.com/skill-courses/advanced-ms-excel-with-getcertgo-certification/pd4641.html,/skill-courses/advanced-ms-excel-with-getcertgo-certification/pd4641.html,
34,http://careerplus.shine.com/resume-writing/country-specific-resume/pd34.html,/resume-writing/country-specific-resume/pd34.html,
3106,http://careerplus.shine.com/resume-writing/super-express-delivery/pd3106.html,/resume-writing/super-express-delivery/pd3106.html,
35,http://careerplus.shine.com/resume-writing/us/pd35.html,/resume-writing/us/pd35.html,
803,http://careerplus.shine.com/skill-courses/vskills-certified-python-developer/pd803.html,/skill-courses/vskills-certified-python-developer/pd803.html,https://learning.shine.com/course/it-information-technology/python-developer/pd-303
1571,http://careerplus.shine.com/skill-courses/vskills-certified-competition-law-analyst/pd1571.html,/skill-courses/vskills-certified-competition-law-analyst/pd1571.html,https://learning.shine.com/course/law/competition-law-analyst/pd-651
2083,http://careerplus.shine.com/resume-showcase/featured-profile-2/pd2083.html,/resume-showcase/featured-profile-2/pd2083.html,
4643,http://careerplus.shine.com/skill-courses/advanced-ms-word-with-getcertgo-certification/pd4643.html,/skill-courses/advanced-ms-word-with-getcertgo-certification/pd4643.html,
36,http://careerplus.shine.com/resume-writing/uk/pd36.html,/resume-writing/uk/pd36.html,
37,http://careerplus.shine.com/resume-writing/country-specific-resume/pd37.html,/resume-writing/country-specific-resume/pd37.html,
805,http://careerplus.shine.com/skill-courses/vskills-certified-wimax4g-professional/pd805.html,/skill-courses/vskills-certified-wimax4g-professional/pd805.html,https://learning.shine.com/course/None/wimax-4g-professional/pd-304
1573,http://careerplus.shine.com/skill-courses/vskills-certified-consumer-law-professional/pd1573.html,/skill-courses/vskills-certified-consumer-law-professional/pd1573.html,https://learning.shine.com/course/law/consumer-law/pd-652
4645,http://careerplus.shine.com/skill-courses/advanced-microsoft-power-point-2013-with-getcertgo/pd4645.html,/skill-courses/advanced-microsoft-power-point-2013-with-getcertgo/pd4645.html,
4901,http://careerplus.shine.com/skill-courses/manager-of-qualityorganizational-excellence/pd4901.html,/skill-courses/manager-of-qualityorganizational-excellence/pd4901.html,
38,http://careerplus.shine.com/resume-writing/country-specific-resume/pd38.html,/resume-writing/country-specific-resume/pd38.html,
39,http://careerplus.shine.com/resume-writing/country-specific-resume/pd39.html,/resume-writing/country-specific-resume/pd39.html,
807,http://careerplus.shine.com/skill-courses/vskills-certified-php-developer/pd807.html,/skill-courses/vskills-certified-php-developer/pd807.html,https://learning.shine.com/course/it-information-technology/php-developer/pd-305
1575,http://careerplus.shine.com/skill-courses/vskills-certified-content-writer/pd1575.html,/skill-courses/vskills-certified-content-writer/pd1575.html,https://learning.shine.com/course/mass-communication/content-writer/pd-653
4135,http://careerplus.shine.com/skill-courses/classroom-training-for-acca-ifrs-from-gold-approve/pd4135.html,/skill-courses/classroom-training-for-acca-ifrs-from-gold-approve/pd4135.html,https://learning.shine.com/course/banking-finance/ifrs/pd-1467
4647,http://careerplus.shine.com/skill-courses/sap-with-getcertgo-certification/pd4647.html,/skill-courses/sap-with-getcertgo-certification/pd4647.html,
4903,http://careerplus.shine.com/skill-courses/thinking-like-a-cfo/pd4903.html,/skill-courses/thinking-like-a-cfo/pd4903.html,https://learning.shine.com/course/management/thinking-like-a-cfo/pd-1728
809,http://careerplus.shine.com/skill-courses/vskills-certified-mongodb-professional/pd809.html,/skill-courses/vskills-certified-mongodb-professional/pd809.html,https://learning.shine.com/course/it-information-technology/mongodb-2/pd-306
1577,http://careerplus.shine.com/skill-courses/vskills-certified-contract-law-analyst/pd1577.html,/skill-courses/vskills-certified-contract-law-analyst/pd1577.html,https://learning.shine.com/course/law/contract-law-analyst/pd-654
4649,http://careerplus.shine.com/tssc/ttt-combined/pd4649.html,/tssc/ttt-combined/pd4649.html,
4905,http://careerplus.shine.com/skill-courses/issue-focussed-negotiation/pd4905.html,/skill-courses/issue-focussed-negotiation/pd4905.html,
1579,http://careerplus.shine.com/skill-courses/vskills-certified-criminal-procedure-code-analyst/pd1579.html,/skill-courses/vskills-certified-criminal-procedure-code-analyst/pd1579.html,https://learning.shine.com/course/law/vskills-certified-criminal-procedure-code-analyst/pd-655
4651,http://careerplus.shine.com/skill-courses/certified-facility-manager/pd4651.html,/skill-courses/certified-facility-manager/pd4651.html,
4907,http://careerplus.shine.com/skill-courses/living-and-working-abroad-in-the-united-states/pd4907.html,/skill-courses/living-and-working-abroad-in-the-united-states/pd4907.html,
44,http://careerplus.shine.com/resume-writing/australia/pd44.html,/resume-writing/australia/pd44.html,
45,http://careerplus.shine.com/resume-writing/middle-east/pd45.html,/resume-writing/middle-east/pd45.html,
301,http://careerplus.shine.com/executive-bio/professional-summary-2/pd301.html,/executive-bio/professional-summary-2/pd301.html,
813,http://careerplus.shine.com/skill-courses/vskills-certified-facebook-apps-developer/pd813.html,/skill-courses/vskills-certified-facebook-apps-developer/pd813.html,
1581,http://careerplus.shine.com/skill-courses/certified-digital-marketing-master-cdmm-course/pd1581.html,/skill-courses/certified-digital-marketing-master-cdmm-course/pd1581.html,
4653,http://careerplus.shine.com/combo/job-assistance-package/pd4653.html,/combo/job-assistance-package/pd4653.html,
4909,http://careerplus.shine.com/skill-courses/developing-with-python/pd4909.html,/skill-courses/developing-with-python/pd4909.html,https://learning.shine.com/course/it-information-technology/developing-with-python/pd-1731
46,http://careerplus.shine.com/resume-writing/singapore/pd46.html,/resume-writing/singapore/pd46.html,
303,http://careerplus.shine.com/profile-updates/job-profile-update/pd303.html,/profile-updates/job-profile-update/pd303.html,
815,http://careerplus.shine.com/skill-courses/vskills-certified-twitter-apps-developer/pd815.html,/skill-courses/vskills-certified-twitter-apps-developer/pd815.html,https://learning.shine.com/course/it-information-technology/twitter-apps-developer/pd-308
1583,http://careerplus.shine.com/skill-courses/social-media-certification-csmmp/pd1583.html,/skill-courses/social-media-certification-csmmp/pd1583.html,
3119,http://careerplus.shine.com/resume-writing/express-delivery-2/pd3119.html,/resume-writing/express-delivery-2/pd3119.html,
3887,http://careerplus.shine.com/tssc/assessment-fee-asap/pd3887.html,/tssc/assessment-fee-asap/pd3887.html,
4655,http://careerplus.shine.com/skill-courses/certification-in-excel-for-project-managers/pd4655.html,/skill-courses/certification-in-excel-for-project-managers/pd4655.html,https://learning.shine.com/course/None/certification-in-excel-for-project-managers/pd-1627
4911,http://careerplus.shine.com/skill-courses/working-with-clojure/pd4911.html,/skill-courses/working-with-clojure/pd4911.html,https://learning.shine.com/course/it-information-technology/working-with-clojure/pd-1732
305,http://careerplus.shine.com/resume-plus-visual-resume/resume-plus-visual-resume/pd305.html,/resume-plus-visual-resume/resume-plus-visual-resume/pd305.html,https://learning.shine.com/services/visual-resume/entry-level-freshers-4/pd-2052
817,http://careerplus.shine.com/skill-courses/vskills-certified-django-developer/pd817.html,/skill-courses/vskills-certified-django-developer/pd817.html,https://learning.shine.com/course/it-information-technology/django-developer/pd-309
3889,http://careerplus.shine.com/tssc/assessment-fee-non-star/pd3889.html,/tssc/assessment-fee-non-star/pd3889.html,
4657,http://careerplus.shine.com/skill-courses/certified-production-planning-and-control-professi/pd4657.html,/skill-courses/certified-production-planning-and-control-professi/pd4657.html,https://learning.shine.com/course/operation-management/production-planning-and-control-3/pd-1628
4913,http://careerplus.shine.com/skill-courses/user-experience-ux-design-foundations/pd4913.html,/skill-courses/user-experience-ux-design-foundations/pd4913.html,https://learning.shine.com/course/it-information-technology/user-experience-ux-design/pd-1733
1587,http://careerplus.shine.com/skill-courses/vskills-certified-cvs-professional/pd1587.html,/skill-courses/vskills-certified-cvs-professional/pd1587.html,https://learning.shine.com/course/it-information-technology/cvs-professional/pd-659
3891,http://careerplus.shine.com/tssc/assessment-fee-non-qp/pd3891.html,/tssc/assessment-fee-non-qp/pd3891.html,
4659,http://careerplus.shine.com/skill-courses/engineering-design-2/pd4659.html,/skill-courses/engineering-design-2/pd4659.html,https://learning.shine.com/course/operation-management/engineering-design/pd-1629
4915,http://careerplus.shine.com/skill-courses/programming-cross-platform-applications-in-visual-/pd4915.html,/skill-courses/programming-cross-platform-applications-in-visual-/pd4915.html,https://learning.shine.com/course/it-information-technology/programming-cross-platform-applications-in-visual-studio-with-xamarin/pd-1734
